h52|570|	1.2633301245271254E8|0.0
h52|575|	1.1639430597258621E8|0.0
h52|580|	1.0379616384699129E8|0.0
h52|585|	1.133180741829296E8|0.0
h52|590|	1.072951495494213E8|0.0
h52|595|	1.0727979843803877E8|0.0
h52|5|	1.0209095229742542E8|0.0
h52|600|	1.0730291863423567E8|0.0
h52|605|	1.0719781527873006E8|0.0
h52|60|	8.61681805460002E7|0.0
h52|610|	1.0580323952086873E8|263.0
h52|615|	1.1469161358384696E8|0.0
h52|620|	1.0761525277247463E8|0.0
h52|625|	1.0887073664620753E8|0.0
h52|630|	1.1247874049910472E8|0.0
h52|635|	1.0792641936888339E8|0.0
h52|640|	1.0697744558634952E8|0.0
h52|645|	1.0724042822801895E8|0.0
h52|650|	1.109621134573334E8|0.0
h52|655|	1.0967317518348685E8|0.0
h52|65|	6.4168230798611E7|0.0
h52|660|	1.0728316923921391E8|0.0
h52|665|	1.2146417628647722E8|0.0
h52|670|	1.1397484895325758E8|0.0
h52|675|	1.112956476803989E8|0.0
h52|680|	1.2519346777295676E8|0.0
h52|685|	1.1589898520132671E8|0.0
h52|690|	1.1731281837674043E8|0.0
h52|695|	1.1726884943275447E8|0.0
h52|700|	1.361917922360699E8|0.0
h52|705|	1.3204382705685273E8|0.0
h52|70|	6.472365703344099E7|0.0
h52|710|	1.257486551912276E8|0.0
h52|715|	1.2747768678181866E8|0.0
h52|720|	1.318972125590686E8|0.0
h52|725|	1.2884747973688133E8|0.0
h52|730|	1.2653512426076365E8|0.0
h52|735|	1.288552125806951E8|0.0
h52|740|	1.3109038396172363E8|0.0
h52|745|	1.3133324639919394E8|0.0
h52|750|	1.3581683519656882E8|0.0
h52|755|	1.218886811303972E8|0.0
h52|75|	9.308942832399541E7|0.0
h52|760|	1.3021618604334219E8|0.0
h52|765|	1.2718273180532783E8|0.0
h52|770|	1.304894537097661E8|0.0
h52|775|	1.2328927720426986E8|0.0
h52|780|	1.3437074415287673E8|0.0
h52|785|	1.2532801977607673E8|0.0
h52|790|	1.2161891393942517E8|0.0
h52|795|	1.3205915855015685E8|327.0
h52|800|	1.580052310176695E8|0.0
h52|805|	1.4108396748902836E8|0.0
h52|80|	9.457219695254788E7|0.0
h52|810|	1.5543076316391048E8|0.0
h52|815|	1.624610579681676E8|0.0
h52|820|	1.6089416932126954E8|0.0
h52|825|	1.6443130493148983E8|0.0
h52|830|	1.1628226356536943E8|0.0
h52|835|	1.612632414518435E8|0.0
h52|840|	1.4866739186607194E8|0.0
h52|845|	1.4475912905194455E8|0.0
h52|850|	1.6660241987319252E8|0.0
h52|855|	1.5380505587880385E8|0.0
h52|85|	1.0991795961581272E8|0.0
h52|860|	1.925529394562855E8|0.0
h52|865|	1.4801514392163804E8|0.0
h52|870|	1.5148117274476054E8|0.0
h52|875|	1.7010114449868423E8|0.0
h52|880|	1.8547213585862014E8|0.0
h52|885|	1.5225445710944986E8|0.0
h52|890|	1.4584224186200216E8|0.0
h52|895|	1.3838502991982588E8|0.0
h52|900|	1.2974642531682478E8|0.0
h52|905|	1.5263015085692483E8|0.0
h52|90|	1.2150819048581882E8|0.0
h52|910|	1.5947623745408288E8|0.0
h52|915|	1.504815755073872E8|0.0
h52|920|	1.33807463251182E8|0.0
h52|925|	1.4958886731120953E8|0.0
h52|930|	1.2243242754694211E8|0.0
h52|935|	1.3871501903070787E8|0.0
h52|940|	1.2492392753510362E8|0.0
h52|945|	1.3114301289865652E8|0.0
h52|950|	1.3269646090439494E8|0.0
h52|955|	1.2781134117602964E8|0.0
h52|95|	1.1102977805442825E8|0.0
h52|960|	1.5926296815445516E8|0.0
h52|965|	1.2514847184164636E8|0.0
h52|970|	1.398505321971903E8|0.0
h52|975|	1.6217502842978495E8|0.0
h52|980|	1.3764614563198578E8|0.0
h52|985|	1.3258889923076485E8|0.0
h52|990|	1.418118377609123E8|313.0
h52|995|	1.3029882490803352E8|0.0
h64|0|	5.896326372751604E7|0.0
h64|1000|	1.2682052370721716E8|0.0
h64|1005|	1.2478775950643192E8|0.0
h64|100|	1.1126519650823265E8|0.0
h64|1010|	1.2958452987042147E8|0.0
h64|1015|	1.7586581850931913E8|0.0
h64|1020|	1.251148419431669E8|0.0
h64|1025|	1.2795017877149153E8|0.0
h64|1030|	1.3272636216927998E8|0.0
h64|1035|	1.6268094687884778E8|0.0
h64|1040|	1.198366930968587E8|0.0
h64|1045|	1.3944860601928064E8|0.0
h64|1050|	1.4005344283959374E8|0.0
h64|1055|	1.236250721424887E8|0.0
h64|105|	1.2413458297044095E8|0.0
h64|1060|	1.2668737337330073E8|0.0
h64|1065|	1.2917830867698522E8|0.0
h64|1070|	1.6836958035342166E8|0.0
h64|1075|	1.558809846807495E8|0.0
h64|1080|	1.4062236383888632E8|0.0
h64|1085|	1.667238071874699E8|0.0
h64|1090|	1.5496752101746354E8|0.0
h64|1095|	1.7325568113791546E8|0.0
h64|10|	9.809894379968797E7|0.0
h64|1100|	1.6168844405162185E8|0.0
h64|1105|	1.6021011298787433E8|0.0
h64|110|	1.2499906528462537E8|0.0
h64|1110|	1.6151209850113836E8|279.0
h64|1115|	1.6180620170751324E8|0.0
h64|1120|	1.5558979717179802E8|0.0
h64|1125|	1.6792741381978697E8|0.0
h64|1130|	1.6213341079806468E8|0.0
h64|1135|	1.5918071014272147E8|0.0
h64|1140|	1.6027320210723644E8|0.0
h64|1145|	1.6192029318002674E8|0.0
h64|1150|	1.5888695903730026E8|0.0
h64|1155|	1.6371438099924532E8|0.0
h64|115|	1.2669954126473811E8|0.0
h64|1160|	1.6918592677498257E8|0.0
h64|1165|	1.6199854328820336E8|0.0
h64|1170|	1.5232632415463328E8|0.0
h64|1175|	1.4879139332968116E8|0.0
h64|1180|	1.5952673756552497E8|0.0
h64|1185|	1.7139617272271517E8|0.0
h64|1190|	1.7076027307912603E8|0.0
h64|1195|	1.724941273236991E8|0.0
h64|1200|	1.6535616782676366E8|0.0
h64|1205|	1.7206650014918107E8|0.0
h64|120|	1.2952462131482387E8|0.0
h64|1210|	1.565073072759725E8|0.0
h64|1215|	1.467809632747875E8|305.0
h64|1220|	1.472283616820896E8|321.0
h64|1225|	1.3648420477598748E8|0.0
h64|1230|	1.5343631029956216E8|0.0
h64|1235|	1.3914749123286524E8|0.0
h64|1240|	1.4980808818353483E8|0.0
h64|1245|	1.2755368202173267E8|0.0
h64|1250|	1.1779291570656113E8|0.0
h64|1255|	1.1800020630188918E8|0.0
h64|125|	1.2957910436916502E8|0.0
h64|1260|	1.1629451195919576E8|0.0
h64|1265|	1.1625909215503593E8|0.0
h64|1270|	1.1727281170949824E8|0.0
h64|1275|	1.1592000193252754E8|0.0
h64|1280|	1.111411217531443E8|0.0
h64|1285|	1.141780204730513E8|0.0
h64|1290|	1.1453948516615193E8|0.0
h64|1295|	1.1459305732323314E8|0.0
h64|1300|	1.1147905521402572E8|0.0
h64|1305|	1.098377646324316E8|0.0
h64|130|	1.3287522436461574E8|0.0
h64|1310|	1.0951870722461303E8|0.0
h64|1315|	1.1419505082838388E8|0.0
h64|1320|	1.115279828879005E8|0.0
h64|1325|	1.2129497501212093E8|0.0
h64|1330|	1.2005894855504319E8|320.0
h64|1335|	1.1130913241472107E8|0.0
h64|1340|	1.1391412079477261E8|0.0
h64|1345|	9.959981061934775E7|0.0
h64|1350|	1.0871990177795728E8|0.0
h64|1355|	1.1842239697277194E8|0.0
h64|135|	1.3256309956200589E8|0.0
h64|1360|	9.339094076603673E7|0.0
h64|1365|	1.1960988105748604E8|0.0
h64|1370|	9.384521616890979E7|0.0
h64|1375|	9.484497311675967E7|0.0
h64|1380|	9.650160432159829E7|0.0
h64|1385|	1.2523700363652633E8|0.0
h64|1390|	1.1176324795331396E8|0.0
